0:0:0:0:0:0:0:1 - - [17/May/2018:13:37:30 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:37:30 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:37:30 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:37:30 +0800] "GET /Practical_Training/img/wink.svg HTTP/1.1" 200 2177
0:0:0:0:0:0:0:1 - - [17/May/2018:13:37:31 +0800] "POST /Practical_Training/dwr/call/plaincall/ReDwr.UE.dwr HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:05 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 10732
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:05 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:05 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:05 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:05 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:28 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 10752
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:28 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:28 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:28 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:38:28 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:39:25 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 10812
0:0:0:0:0:0:0:1 - - [17/May/2018:13:39:25 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:39:25 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:39:25 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:39:25 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:39:47 +0800] "POST /Practical_Training/dwr/call/plaincall/ReDwr.UE.dwr HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [17/May/2018:13:41:59 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
0:0:0:0:0:0:0:1 - - [17/May/2018:13:41:59 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:41:59 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:41:59 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:41:59 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:42:47 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 10819
0:0:0:0:0:0:0:1 - - [17/May/2018:13:42:47 +0800] "GET /Practical_Training/dwr/engine.js HTTP/1.1" 200 45814
0:0:0:0:0:0:0:1 - - [17/May/2018:13:42:47 +0800] "GET /Practical_Training/dwr/interface/ReDwr.js HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [17/May/2018:13:42:47 +0800] "GET /Practical_Training/dwr/util.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2018:13:42:47 +0800] "GET /Practical_Training/jsp/js/zepto.custom.js HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [17/May/2018:13:43:23 +0800] "GET /Practical_Training/jsp/register.jsp HTTP/1.1" 200 11051
